id,site.lat,site.lng,site.vs30,building.year_of_construction,building.num_stories,building.building_type_id,building.occupancy_id,building.total_area_ft,building.building_ht_ft,hazard.return_periods
SF201006.0000769,37.79209707,-122.4037314,275,1969,60,S2c,1,1810680,717,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001244,37.79050453,-122.3972294,275,1985,49,S2a,9,1027775,593,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0002341,37.78956021,-122.4003256,275,1975,48,S2a,1,617904,572,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001788,37.79039783,-122.3961434,275,2009,48,S2b,7,766176,577,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001892,37.79041394,-122.4012626,275,1983,47,S2a,1,717690,561,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001326,37.78978749,-122.4017729,275,1966,47,S2a,1,941175,560,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001309,37.79329089,-122.394483,180,1979,47,S1b,1,949964,566,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0000392,37.79287113,-122.398104,275,1983,44,S1b,1,1960596,530,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0002430,37.7887732,-122.4026373,275,1969,44,S2c,1,549692,529,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0000822,37.79051032,-122.399128,275,1973,44,S1a,1,1269048,525,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0000909,37.79452809,-122.399581,275,1970,43,S2b,1,1151110,516,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001304,37.78920373,-122.4032808,275,1982,42,S2a,1,850332,503,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0000633,37.79529679,-122.3961801,180,1979,41,C1b,7,1386661,495,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0000987,37.79407316,-122.3973537,275,1971,41,S1b,1,1023852,489,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001082,37.7917755,-122.3988779,275,1981,41,C1a,1,948207,494,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0000852,37.7911971,-122.3981294,275,1973,41,S2a,9,1145212,497,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001572,37.79060273,-122.4030421,275,1987,40,S2c,7,709400,475,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0000930,37.79177898,-122.3957142,180,1907,40,C2b,,1054720,475,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001729,37.79285709,-122.4051832,275,1963,39,S1b,1,639600,468,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0002127,37.79260554,-122.3989601,275,1971,39,S1a,1,546000,470,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0002533,37.78639185,-122.3920247,800,1926,38,C2b,7,459230,450,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001373,37.7919332,-122.3973725,275,1981,37,C2b,1,722869,445,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001166,37.78853078,-122.3985475,275,2008,37,S1b,1,811151,448,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001393,37.79321898,-122.3971635,275,1969,36,S2b,1,694692,436,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001422,37.79123609,-122.3971283,275,1978,36,S1a,1,684720,434,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001371,37.78923721,-122.4007702,275,1978,34,S2a,1,665414,411,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001283,37.78879652,-122.3994186,275,2002,34,S2c,1,698054,411,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0002688,37.78942286,-122.3905905,180,2008,34,C2a,7,390048,404,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0003142,37.79043124,-122.4024723,275,1984,33,S2b,1,332343,397,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0000747,37.79561377,-122.3992137,275,1967,32,S2c,1,977504,379,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001688,37.79386237,-122.4004288,275,1989,32,S2a,1,534048,380,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001389,37.79088375,-122.3966649,275,1923,32,C2a,9,618208,384,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0002143,37.7918373,-122.3944231,180,1987,32,S2b,1,446016,380,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0002986,37.79356766,-122.4025883,275,1986,31,S2b,1,325562,376,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001901,37.78886746,-122.3981061,275,1908,31,S2b,,471603,366,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0002170,37.78669429,-122.3999776,275,1925,31,S1a,1,427893,377,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0005008,37.79280857,-122.401334,275,1968,30,S1b,1,210030,357,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001966,37.79224487,-122.398088,275,1987,30,S1b,7,446220,359,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0002311,37.79076082,-122.40202,275,1978,29,S2c,1,378856,342,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001168,37.78635222,-122.3982486,275,1915,29,C2a,,633273,349,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001193,37.78881878,-122.4002925,275,2002,28,S1b,1,602812,332,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001162,37.78930267,-122.3975228,275,1988,28,S1a,1,614656,339,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001717,37.79338589,-122.4008116,275,1976,27,S2b,1,444555,325,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001751,37.79296971,-122.4041167,275,1984,27,S2b,1,439614,323,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0002798,37.78867829,-122.4033183,275,1986,27,S1b,1,299511,318,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001196,37.78936159,-122.3996452,275,1986,27,S2b,1,580905,322,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001177,37.78997895,-122.3948306,180,1996,27,S2b,1,586062,318,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0000912,37.78808482,-122.399132,275,2000,27,S1b,1,721251,326,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0001902,37.79397325,-122.4033141,275,1986,26,C2a,1,395512,312,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0002071,37.79233701,-122.4046976,275,1960,26,S1a,1,371488,315,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
SF201006.0003235,37.79190426,-122.4002647,275,1991,26,S2a,1,257322,312,"[15, 30, 42,72,108,144,224,285,475,712,975,1642,2475,3308,4975]"
